编号,名称,初始牌,食用属性,类别,稀有度,商店价,吃分,弃分,角色,联动标签,关键字,效果类型,效果
F001,苹果,否,可食用,水果,普通,5,1,-1,基础,水果|基础,-,-,无额外效果
F002,香蕉,是,可食用,水果,普通,-,1,-1,成长引擎,水果|连击|生成,水果连击,fruit_combo,【水果连击】 吃：水果连击 +1；连击达到 3 或以上时生成 1 张苹果，本轮限 1 次
F003,西瓜,是,可食用,水果,稀有,-,2,-1,收割,水果|连击|收割,水果连击,fruit_combo,【水果连击】 吃：水果连击 +1；连击达到 3 时再额外 +3
F004,草莓,否,可食用,水果,罕见,8,1,-1,启动,水果|连击|加速,水果连击,fruit_combo,【水果连击】 吃：水果连击 +2；本牌额外获得当前连击数的分数（最多 +8）
F005,金苹果,否,可食用,水果,普通,5,2,-1,成长引擎,水果|连击|成长,水果连击,fruit_combo,【水果连击】 吃：水果连击 +1；连击达到 4 时，自身吃分永久 +1
F006,腐烂苹果,否,可食用,水果,罕见,8,-1,-2,牺牲,水果|连击|牺牲,水果连击,fruit_combo,【水果连击】 吃：水果连击 +1；若连击前为 0，本牌额外 +4，否则按连击正常加分
F007,水果拼盘,否,可食用,水果,稀有,12,2,-1,成长引擎,水果|连击|生成|弱化,水果连击,fruit_combo,【水果连击】 吃：水果连击 +2；连击达到 4 时，本轮首次随机生成 1 张【弱化】水果
F008,火龙果,否,可食用,水果,传奇,18,3,-2,收割,水果|连击|爆发,水果连击,fruit_combo,【水果连击】 吃：水果连击 +1；连击达到 5 时，水果连击加分翻倍
F009,梨,否,可食用,水果,普通,5,1,-1,成长引擎,水果|连击,水果连击,fruit_combo,【水果连击】 吃：水果连击 +1
F010,糖渍梅,否,可食用,水果,罕见,8,1,-1,启动,水果|连击|修复,水果连击,fruit_combo_resume,【水果连击】 吃：水果连击 +1；若本轮曾中断连击，则从本轮最高连击恢复（恢复值最多为 5），每轮限 1 次
F011,风干柿子,否,可食用,水果,罕见,8,0,-1,收割,水果|连击|追溯,追溯,fruit_history_bonus,【追溯】 吃：额外增加本轮此前已吃水果数量的分数（最多 +4）
F012,石榴,否,可食用,水果,稀有,12,2,-1,成长引擎,水果|摧毁|生成,摧毁|生成,destroy_generate_many,【摧毁】 【生成】 吃：摧毁自身；下回合在牌组中生成 2 张梨
F013,灯笼果,否,可食用,水果,普通,5,1,-1,经济,水果|经济,经济,gain_gold,【经济】 吃：获得 1 金币
K001,汉堡,是,可食用,快餐,普通,-,2,-1,基础,快餐|基础,-,-,无额外效果
K002,拉面,否,可食用,快餐,普通,5,2,-1,成长引擎,快餐|厌食|转化,厌食|成长,anorexia,【厌食】 【成长】 吃后自身吃分永久 -1、弃分永久 +1
K003,薯条,否,可食用,快餐,罕见,8,5,-1,牺牲,快餐|厌食|付费,厌食|成长,anorexia,【厌食】 【成长】 吃：支付 1 金币（不足时本次 -3 分）；随后吃分永久 -1、弃分永久 +1
